0,Control,Experimental 1,Experimental 2
No_action,1.0*,-0.24790027320385402,0.4052216004293767
No_new_comparative_trial,1.0*,nan,nan
Prediction_Current_same_rule,1.0*,-0.09074425108007847,0.26711222531767115
Prediction_Voltage_Drop_same_rule,0.9999999999999998*,0.1146309385737776,0.34259754627621797
Confidence_Current_verify_prediction,1.0*,-0.1301301083983387,0.5319806428457973*
Confidence_Voltage_Drop_verify_prediction,1.0*,0.10074795357797671,0.09592022754223369
Rule_Current_Confirming_Redundancy,1.0*,-0.0965327867447905,0.06863074934633646
Rule_Voltage_Drop_Confirming_Redundancy,0.9999999999999998*,0.03947026761085656,-0.18777150996151942
Post_test_Current_non_normative,1.0*,-0.3504383220252312,0.27500954910846337
Post_test_Voltage_Drop_non_normative,1.0*,0.1683451245853586,0.1683451245853586
New_comparative_trial,1.0*,nan,nan
Prediction_Current_Fill_up_gaps,1.0*,0.009634555216934666,-0.40628352276307
Prediction_Voltage_Drop_Fill_up_gaps,1.0*,-0.15890151475886172,0.07774419186310332
Confidence_Current_falsify_prediction,1.0*,-0.26164039482184637,-0.09435300692160342
Confidence_Voltage_Drop_falsify_prediction,0.9999999999999999*,-0.23796523061235678,0.2468438770591182
Identify_problem_goal_stated,1.0*,0.0,0.25
Rule_Current_Simultaneous_scanning,0.9999999999999998*,0.32571767170002847,0.1745025152241333
Rule_Voltage_Drop_Simultaneous_scanning,1.0*,0.20565089907970813,0.2182178902359924
Rule_Current_Successive_scanning,1.0*,0.1125087900926024,0.16666666666666666
Rule_Voltage_Drop_Successive_scanning,1.0*,0.19706585563285864,0.11831420125548185
Rule_Current_Focus_gambling,1.0*,-0.25,-0.16666666666666666
Rule_Voltage_Drop_Focus_gambling,1.0*,-0.36689969285267143,0.0
Rule_Current_Conservative_Focusing,1.0*,0.14237369936287486,-0.07647191129018725
Rule_Voltage_Drop_Conservative_Focusing,0.9999999999999998*,-0.13245323570650436,0.5461186812727501*
Post_test_Current_partial,0.9999999999999999*,0.2788995520575487,0.14002800840280097
Post_test_Voltage_Drop_partial,1.0*,0.3572172541558802,-0.10206207261596577
Post_test_Current_1_Valid_link,0.9999999999999998*,-0.07647191129018724,-0.15018785229652765
Post_test_Voltage_Drop_1_Valid_link,1.0*,0.6666666666666666*,nan
Post_test_Current_2_Valid_links,1.0*,0.0,0.6882472016116852*
Post_test_Voltage_Drop_2_Valid_links,0.9999999999999998*,-0.16834512458535864,0.31264094565852313
