0,Control,Experimental 1,Experimental 2
No_action,0.9999999999999998*,-0.24999999999999994,0.328125
No_new_comparative_trial,1.0*,nan,nan
Prediction_Current_same_rule,0.9999999999999999*,-0.06411772878509583,0.33931452302522036
Prediction_Voltage_Drop_same_rule,1.0*,0.23218173010628607,0.569649688887087*
Confidence_Current_verify_prediction,0.9999999999999999*,-0.19663895015383903,0.6247670659828063*
Confidence_Voltage_Drop_verify_prediction,0.9999999999999999*,0.04534664190358184,0.24794272297224884
Rule_Current_Confirming_Redundancy,1.0*,-0.15009461423669912,0.05187462760734623
Rule_Voltage_Drop_Confirming_Redundancy,1.0*,-0.06726727939963123,-0.19211684257122963
Post_test_Current_non_normative,1.0*,-0.3504383220252311,0.2750095491084633
Post_test_Voltage_Drop_non_normative,1.0*,0.16834512458535866,0.16834512458535866
New_comparative_trial,1.0*,nan,nan
Prediction_Current_Fill_up_gaps,1.0*,-0.03922926276315422,-0.4588314677411235*
Prediction_Voltage_Drop_Fill_up_gaps,1.0*,-0.22291128503014118,0.1374903330507991
Confidence_Current_falsify_prediction,1.0*,-0.12700012700019048,-0.16944976323857575
Confidence_Voltage_Drop_falsify_prediction,0.9999999999999999*,-0.24130758866434218,0.25565499628245686
Identify_problem_goal_stated,0.9999999999999999*,0.0,0.24999999999999997
Rule_Current_Simultaneous_scanning,1.0*,0.3741358090098122,0.1232846121420113
Rule_Voltage_Drop_Simultaneous_scanning,0.9999999999999999*,0.21350420507344953,0.21821789023599242
Rule_Current_Successive_scanning,1.0*,0.10482848367219183,0.16666666666666666
Rule_Voltage_Drop_Successive_scanning,1.0*,0.1796053020267749,0.10872134550890702
Rule_Current_Focus_gambling,0.9999999999999998*,-0.24999999999999994,-0.16666666666666669
Rule_Voltage_Drop_Focus_gambling,0.9999999999999998*,-0.3668996928526714,-6.938893903907228e-18
Rule_Current_Conservative_Focusing,0.9999999999999999*,0.20272121351984576,-0.07647191129018722
Rule_Voltage_Drop_Conservative_Focusing,1.0*,-0.13245323570650439,0.5461186812727502*
Post_test_Current_partial,0.9999999999999999*,0.27889955205754874,0.140028008402801
Post_test_Voltage_Drop_partial,0.9999999999999998*,0.3572172541558801,-0.10206207261596575
Post_test_Current_1_Valid_link,1.0*,-0.07647191129018724,-0.15018785229652765
Post_test_Voltage_Drop_1_Valid_link,0.9999999999999999*,0.6666666666666665*,nan
Post_test_Current_2_Valid_links,0.9999999999999999*,0.0,0.6882472016116855*
Post_test_Voltage_Drop_2_Valid_links,1.0*,-0.16834512458535866,0.31264094565852313
